method,combo,n_tasks,best_coef,mean_acc,min_acc,mean_ret,min_ret,oracle_min_ret
base,mnli+qnli,2,0.9,0.6168892193909855,0.49313563975837454,0.6779087270070381,0.5309420575482854,0.571344107213244
base,mnli+qnli+qqp,3,0.2,0.5539102916632492,0.42839707078925954,0.6077459443608347,0.4771182600815586,0.4771182600815586
base,mnli+qnli+qqp+record,4,0.15000000000000002,0.45895750573562644,0.1930021085925145,0.5450367619380764,0.37866839043309636,0.37866839043309636
base,mnli+qnli+qqp+sst2,4,0.15000000000000002,0.6652470994078074,0.48708299430431246,0.7202301077398647,0.5424784775713638,0.5557317625736293
base,mnli+qnli+qqp+sst2+record,5,0.15000000000000002,0.5710159895618528,0.1966921454928835,0.6525107780024207,0.3859082094376212,0.3883645765998707
base,mnli+qnli+record,3,0.30000000000000004,0.43238038514062443,0.3076568265682657,0.5615735832749632,0.47349342999546895,0.607607410327158
base,mnli+qnli+sst2,3,0.2,0.6117999117588876,0.4264646053702197,0.6572612836284892,0.4749660172179429,0.6080015766653528
base,mnli+qnli+sst2+record,4,0.25,0.5311289570237132,0.30416447021613074,0.6381737003521318,0.4538966923425464,0.5967679379444086
base,mnli+qqp,2,0.7000000000000001,0.8386432129023091,0.8164157851912124,0.9304881717567419,0.9092659719075668,0.9256909832351607
base,mnli+qqp+record,3,0.25,0.5588358123235264,0.23563521349499209,0.6869269771779868,0.4623141564318035,0.5256625727213964
base,mnli+qqp+sst2,3,0.2,0.6997838674163118,0.49430431244914563,0.7601890049893237,0.5505210693248753,0.8983914816492976
base,mnli+qqp+sst2+record,4,0.2,0.600308452506179,0.2703610964681075,0.7109264836761726,0.5304460245636716,0.5304460245636716
base,mnli+record,2,0.45,0.6149898956126606,0.3977991565629942,0.8536510439106457,0.7804783451842277,0.7804783451842277
base,mnli+sst2,2,0.25,0.7267404319167519,0.5842148087876322,0.7836114506497682,0.6506570004531037,0.9673518742442564
base,mnli+sst2+record,3,0.25,0.6016587123024005,0.32037427517132316,0.7428273468561076,0.6285714285714287,0.6862314156431804
base,qnli+qqp,2,0.9500000000000001,0.5726949660543266,0.5039355665385319,0.6258555436362807,0.5425699645250295,0.5441466298778085
base,qnli+qqp+record,3,0.15000000000000002,0.456900599030359,0.2333948339483395,0.5668838311574488,0.45791855203619913,0.45791855203619913
base,qnli+qqp+sst2,3,0.15000000000000002,0.6837989084213842,0.5053999633900788,0.7355222074779136,0.5441466298778085,0.5441466298778085
base,qnli+qqp+sst2+record,4,0.15000000000000002,0.5754364230771136,0.24354243542435425,0.6728919458944751,0.4778280542986426,0.4778280542986426
base,qnli+record,2,0.8,0.7013278803945959,0.47660780179230366,0.9660719731936316,0.9351001939237235,0.9378151260504202
base,qnli+sst2,2,0.8500000000000001,0.9411434638695344,0.9258649093904449,1.0026554990970398,0.9968466692944423,0.9984233346472211
base,qnli+sst2+record,3,0.65,0.7688743977501621,0.4476805482340538,0.9528577460966033,0.8783451842275373,0.8783451842275373
base,qqp+record,2,0.4,0.6023845857871319,0.36056931997891406,0.8203571054291732,0.7074337427278604,0.7100193923723337
base,qqp+sst2,2,0.30000000000000004,0.8588629798473746,0.7911204551075933,0.9258127429782692,0.8746000929698394,0.9818621523579202
base,qqp+sst2+record,3,0.30000000000000004,0.690364939840618,0.33994464944649444,0.8442242118261877,0.6669683257918552,0.6669683257918552
base,sst2+record,2,0.9,0.7281780624162729,0.499934106483922,0.994665260765268,0.9808661926308987,0.9808661926308987
freeze,mnli+qnli,2,0.8500000000000001,0.5805181078360275,0.4942339373970346,0.6370984031051375,0.5313914583743358,0.5493013186380634
freeze,mnli+qnli+qqp,3,0.2,0.5341656585243,0.37794955248169243,0.5853042130855732,0.4210287786086563,0.422728302741899
freeze,mnli+qnli+qqp+record,4,0.15000000000000002,0.4438639511458335,0.1804823405376911,0.5247975436039649,0.3520565552699229,0.3632390745501285
freeze,mnli+qnli+qqp+sst2,4,0.15000000000000002,0.6462096072137204,0.42748169243287226,0.6973070731455431,0.47620666213460233,0.47620666213460233
freeze,mnli+qnli+qqp+sst2+record,5,0.15000000000000002,0.5526022822008814,0.18173431734317344,0.6277742943321171,0.3544987146529563,0.3795629820051414
freeze,mnli+qnli+record,3,0.30000000000000004,0.4086180400221376,0.28545071164997365,0.527838888523679,0.4478812599138908,0.5837433576067703
freeze,mnli+qnli+sst2,3,0.15000000000000002,0.6050211541146076,0.3799837266069976,0.6470192573229999,0.4232948107863132,0.6030308994292463
freeze,mnli+qnli+sst2+record,4,0.2,0.5241092359195556,0.2836056931997891,0.6229363425417414,0.4134375708135056,0.5709511568123393
freeze,mnli+qqp,2,0.5,0.8338584610272766,0.82740032546786,0.9247518308615463,0.9217085882619533,0.9257874461817358
freeze,mnli+qqp+record,3,0.25,0.5688409800718661,0.2246968898260411,0.6938009861059936,0.43830334190231357,0.5132390745501285
freeze,mnli+qqp+sst2,3,0.25,0.7171280127195981,0.636493083807974,0.7799578803636004,0.7090414683888512,0.8904373442102878
freeze,mnli+qqp+sst2+record,4,0.2,0.6074735182433181,0.2652872957301002,0.7153413998834774,0.5174807197943445,0.5174807197943445
freeze,mnli+record,2,0.45,0.6140473877858621,0.3926594623089088,0.8482988593528002,0.7659383033419023,0.7659383033419023
freeze,mnli+sst2,2,0.25,0.7300193713095602,0.5804515866558178,0.7842436409472013,0.6466122818944029,0.9627403846153846
freeze,mnli+sst2+record,3,0.25,0.6034939886260337,0.32011070110701106,0.7417542497774782,0.6244215938303341,0.6708226221079692
freeze,qnli+qqp,2,0.8500000000000001,0.5716833668305511,0.504484715357862,0.6239018511291903,0.542412910844322,0.5433969691005708
freeze,qnli+qqp+record,3,0.15000000000000002,0.4556843065328169,0.2297706905640485,0.5630866116960686,0.44820051413881745,0.44820051413881745
freeze,qnli+qqp+sst2,3,0.15000000000000002,0.6822533670280597,0.5053999633900788,0.7314220826235248,0.5433969691005708,0.5433969691005708
freeze,qnli+qqp+sst2+record,4,0.15000000000000002,0.575295278747604,0.24070901423299948,0.6695429954776153,0.46953727506426735,0.46953727506426735
freeze,qnli+record,2,0.7000000000000001,0.6995780716220906,0.47219293621507646,0.9588669467227318,0.9210796915167095,0.9210796915167095
freeze,qnli+sst2,2,0.8500000000000001,0.9370866689505883,0.9234852645066813,0.9946545056621198,0.9929147805550088,0.9954733320212557
freeze,qnli+sst2+record,3,0.6000000000000001,0.7633405445941192,0.43292040063257775,0.9384858274335567,0.8444730077120822,0.8444730077120822
freeze,qqp+record,2,0.4,0.6020066881837328,0.349301528729573,0.8125256820188029,0.6813624678663238,0.6992287917737788
freeze,qqp+sst2,2,0.30000000000000004,0.8673838801689181,0.8081622557506802,0.9317236268837941,0.892293407613742,0.9771634615384616
freeze,qqp+sst2+record,3,0.30000000000000004,0.692793427674212,0.3352003162888772,0.8418972483644759,0.6538560411311054,0.6538560411311054
freeze,sst2+record,2,0.8500000000000001,0.7240857123512258,0.4951897733263047,0.9823681901324897,0.9659383033419023,0.9674807197943444
lora,mnli+qnli,2,0.7000000000000001,0.8265475306399572,0.817839707078926,0.9116863483486708,0.9007106198183972,0.9074220292143702
lora,mnli+qnli+qqp,3,0.65,0.6520280826155004,0.6066263957532492,0.7229257552958099,0.6541650217133833,0.6705487564153177
lora,mnli+qnli+qqp+record,4,0.45,0.46928809832050977,0.07452556668423826,0.5386917349213822,0.15749895557721766,0.32488511349394233
lora,mnli+qnli+qqp+sst2,4,0.5,0.7217587516987769,0.6026240846216436,0.7845843977974634,0.6798623063683304,0.7107286288009179
lora,mnli+qnli+qqp+sst2+record,5,0.4,0.5688687078074568,0.09857670005271481,0.6378070273946437,0.20832753098454254,0.33435454672051246
lora,mnli+qnli+record,3,0.5,0.5302761711852271,0.18904849762783343,0.6472934177345763,0.3995265283386715,0.40885670519426265
lora,mnli+qnli+sst2,3,0.5,0.7537528292204572,0.6209316517493898,0.8129477788630693,0.7005163511187608,0.7600688468158348
lora,mnli+qnli+sst2+record,4,0.4,0.5706492724586835,0.18338165524512387,0.6614295474732612,0.38755048043447987,0.38755048043447987
lora,mnli+qqp,2,0.8,0.8007802765913299,0.8004475183075671,0.8985118107380826,0.8939828871101297,0.9121055651176133
lora,mnli+qqp+record,3,0.7000000000000001,0.49742117157494997,0.010411175540326832,0.5615179874628281,0.022002506614677623,0.3581673861579167
lora,mnli+qqp+sst2,3,0.65,0.7975695247851015,0.7326078112286412,0.8728189323011591,0.8265060240963855,0.8265060240963855
lora,mnli+qqp+sst2+record,4,0.5,0.5849246165024883,0.0985108065366368,0.6629975400157663,0.20818827461356357,0.3427099289792508
lora,mnli+record,2,0.7000000000000001,0.5184436970197902,0.24762783342119135,0.7068721301343197,0.5233254421389778,0.5314023116557582
lora,mnli+sst2,2,0.75,0.8781954262807832,0.8320789259560618,0.9525765962101231,0.9387263339070567,0.9448078026391279
lora,mnli+sst2+record,3,0.6000000000000001,0.614024873434139,0.1900369003690037,0.7296801704153832,0.4016153739033561,0.42083275309845425
lora,qnli+qqp,2,0.9,0.6720808624692572,0.6445461291120456,0.7368535878433384,0.7192658018216948,0.7544413738649821
lora,qnli+qqp+record,3,0.30000000000000004,0.47099002463186923,0.15102793885081708,0.5694755416202878,0.3191756022838045,0.4312769809218772
lora,qnli+qqp+sst2,3,0.7000000000000001,0.7410778020657752,0.6517684887459807,0.7981344814171164,0.7273254209218879,0.7837979574937897
lora,qnli+qqp+sst2+record,4,0.30000000000000004,0.5711629850105596,0.18502899314707433,0.6624668040918487,0.3910318897089542,0.441860465116279
lora,qnli+record,2,0.7000000000000001,0.5918142075925348,0.32768845545598313,0.8077690596093685,0.6925219328784292,0.6925219328784292
lora,qnli+sst2,2,0.7000000000000001,0.9068052889580782,0.870950027457441,0.962407018719805,0.9392025266482432,0.9407816818002368
lora,qnli+sst2+record,3,0.55,0.6581230133947807,0.24288350026357405,0.7833094590368486,0.5132989834284918,0.5195655201225456
lora,qqp+record,2,0.75,0.5319696336340064,0.261070110701107,0.7238381654166585,0.5517337418186883,0.5517337418186883
lora,qqp+sst2,2,0.5,0.8573946474481888,0.7904773682908731,0.9242705642276132,0.882114269942037,0.9614131934860614
lora,qqp+sst2+record,3,0.4,0.6317530211870671,0.21085925144965736,0.7536853366429939,0.44562038713271135,0.5038295502019218
lora,sst2+record,2,0.8500000000000001,0.6537622175042196,0.3728914074855034,0.8826350143948343,0.7880518033700041,0.7880518033700041
