method,boolq_mean,boolq_std,cb_mean,cb_std,cola_mean,cola_std,copa_mean,copa_std,cr_mean,cr_std,mrpc_mean,mrpc_std,multirc_mean,multirc_std,piqa_mean,piqa_std,rotten_tomatoes_mean,rotten_tomatoes_std,rte_mean,rte_std,scitail_mean,scitail_std,stsb_mean,stsb_std
Random,0.6604892966360857,0.019903911174205806,0.8857142857142858,0.008748177652797088,0.6439117929050815,0.014293112294216094,0.719,0.023000000000000024,0.9255319148936169,0.0020600975245783407,0.6426470588235293,0.02425851574835022,0.7278877887788779,0.014286917723478603,0.6819368879216541,0.02769651155002033,0.9200750469043151,0.003997612711568946,0.8270758122743682,0.006744238878075603,0.852681091251176,0.010116278501426193,0.623425846203485,0.019297884370168227
SAR,0.6903975535168196,0.0009785932721712242,0.8892857142857142,0.007142857142857162,0.6421860019175456,0.01432266611574503,0.75,0.0,0.9284574468085104,0.000797872340425554,0.557843137254902,0.034993271171715176,0.7241336633663368,0.0059017915928546135,0.6964091403699674,0.0,0.9287054409005628,0.0,0.8083032490974729,0.015607195899795898,0.8328316086547506,0.010624878949008848,0.6012128293842063,0.038402820136814377
SAR_iso,0.65697247706422,0.0015415392246028864,0.8875,0.008183170883849736,0.6271332694151486,0.003163950143815897,0.7699999999999999,1.1102230246251565e-16,0.9308510638297871,1.1102230246251565e-16,0.6838235294117647,0.0,0.7572194719471949,1.1102230246251565e-16,0.721436343852013,0.0,0.9287054409005628,0.0,0.8148014440433213,0.0159867074552235,0.8257761053621826,0.014465903981239507,0.6123574795182333,0.0
SAR (norm),0.6923547400611622,1.1102230246251565e-16,0.8678571428571429,0.01636634176769947,0.6341323106423777,0.016084538428004433,0.729,0.027000000000000003,0.9265957446808508,0.0017641621225294698,0.6838235294117647,0.0,0.7497937293729373,0.003712871287128716,0.719804134929271,0.0,0.9268292682926831,1.1102230246251565e-16,0.8241877256317689,0.0023115971976291785,0.8424270931326434,0.011687457708851531,0.6416031960550364,0.021574234370426295
SAR_iso (norm),0.680611620795107,0.005871559633027523,0.8589285714285714,0.005357142857142872,0.6684563758389264,0.0015340364333652713,0.7699999999999999,1.1102230246251565e-16,0.9292553191489359,0.0021276595744681047,0.6779411764705883,0.017647058823529415,0.7559818481848185,0.0,0.7209466811751905,0.000747972093844788,0.9271106941838652,0.0004298851496205841,0.823826714801444,0.002166064981949456,0.8399811853245532,0.008216758881771462,0.6748751584845454,0.009117843019407056
Binary,0.6990825688073394,0.0,0.8928571428571429,0.0,0.6716203259827422,0.007190795781399783,0.759,0.01757839583124696,0.9311170212765957,0.0014322246827485777,0.6830882352941177,0.0022058823529411686,0.7572194719471949,1.1102230246251565e-16,0.721436343852013,0.0,0.928611632270169,0.0002814258911819967,0.839350180505415,0.004347146057325731,0.8634995296331137,0.004360988517967735,0.689194848610142,0.032230476137421075
Binary + SAR_iso,0.6984097859327217,0.0020183486238532166,0.8928571428571429,0.0,0.6735378715244487,0.0014381591562799502,0.7550000000000001,0.02291287847477922,0.9295212765957445,0.0027252528632871697,0.6838235294117647,0.0,0.7572194719471949,1.1102230246251565e-16,0.7207834602829163,0.0019586507072905214,0.9287054409005628,0.0,0.8407942238267146,0.0010830324909747112,0.8633584195672623,0.004348032417078689,0.6728212565651921,0.03975189897911134
