method,combo,n_tasks,target,cos_mix,dot_mix,ts_cos,ts_dot,kc_cos,kc_dot
base,mnli+qnli,2,mrpc,0.03536567686062865,0.20565928187177873,0.029740551401548278,0.10282964093588937,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,boolq,0.025297192475896655,0.2318261182823832,0.02220402250693721,0.1159130591411916,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,rte,0.08923550543448533,0.4986244810795275,0.08065265561585744,0.24931224053976375,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,cola,0.025349324896998673,0.21809020156709552,0.01974064652824049,0.10904510078354776,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,cb,0.054542029662705,0.17702889137046035,0.03957225901269738,0.08851444568523018,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,scitail,0.08577763264337193,1.0856343403402855,0.06119141950451913,0.5428171701701427,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,stsb,0.013622885627258835,0.11669994881845701,0.01056862626942148,0.058349974409228504,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,cr,0.02503095788754706,0.16128071567520094,0.019793919620227918,0.08064035783760047,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,rotten_tomatoes,0.02298743042296603,0.19828896760750536,0.017369691491151897,0.09914448380375268,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,multirc,0.02982414237655721,0.47816669887611174,0.02216225214121344,0.23908334943805587,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,copa,0.005953350648013733,0.021812710627295083,0.004710597579641021,0.010906355313647541,0.04921603649379405,1.2581656051366736
base,mnli+qnli,2,piqa,0.009140214945556273,0.10214037147028873,0.006803409603557825,0.051070185735144366,0.04921603649379405,1.2581656051366736
base,mnli+qqp,2,mrpc,0.032270696836227346,0.23257992863917995,0.02321414023627069,0.11628996431958998,0.03138858293834628,1.5718938181091524
base,mnli+qqp,2,boolq,0.017925764757217466,0.20359414298493428,0.012857826577470668,0.10179707149246714,0.03138858293834628,1.5718938181091524
base,mnli+qqp,2,rte,0.05050533087697163,0.34976043394021505,0.03610973438356064,0.17488021697010753,0.03138858293834628,1.5718938181091524
base,mnli+qqp,2,cola,0.022973121389731423,0.24495556620551956,0.016456567456921853,0.12247778310275978,0.03138858293834628,1.5718938181091524
