combo,mrpc,boolq,rte,cola,cb,scitail,cr,rotten_tomatoes,multirc,copa,piqa
mnli+qqp+record+anli_r1+imdb+hellaswag,0.3161764705882353,0.42385321100917434,0.7942238267148014,0.6375838926174496,0.7142857142857143,0.8584195672624647,0.8856382978723404,0.8714821763602252,0.628506600660066,0.62,0.515778019586507
mnli+qqp+record+anli_r1+imdb+winogrande,0.3161764705882353,0.42446483180428135,0.8014440433212996,0.6241610738255033,0.7321428571428571,0.8560677328316086,0.8803191489361702,0.8658536585365854,0.6264438943894389,0.52,0.3514689880304679
mnli+qqp+record+anli_r1+paws+hellaswag,0.3161764705882353,0.5100917431192661,0.8086642599277978,0.5551294343240653,0.75,0.8626528692380057,0.8404255319148937,0.8245778611632271,0.6610973597359736,0.44,0.2426550598476605
mnli+qqp+record+anli_r1+paws+imdb,0.3161764705882353,0.48990825688073397,0.8122743682310469,0.6164908916586769,0.7142857142857143,0.8527751646284102,0.8776595744680851,0.8621013133208255,0.6437706270627063,0.36,0.191512513601741
mnli+qqp+record+anli_r1+paws+winogrande,0.3161764705882353,0.5061162079510704,0.8086642599277978,0.5282837967401726,0.75,0.8598306679209784,0.8377659574468085,0.8161350844277674,0.6606848184818482,0.34,0.1425462459194777
mnli+qqp+record+imdb+hellaswag+winogrande,0.3161764705882353,0.4474006116207951,0.7148014440433214,0.6203259827420902,0.5178571428571429,0.8264346190028222,0.8936170212765957,0.875234521575985,0.6227310231023102,0.66,0.5538628944504896
mnli+qqp+record+paws+hellaswag+winogrande,0.3161764705882353,0.5137614678899083,0.7111913357400722,0.5340364333652924,0.5714285714285714,0.8438381937911571,0.8590425531914894,0.8358348968105066,0.6726485148514851,0.51,0.2807399347116431
mnli+qqp+record+paws+imdb+hellaswag,0.3161764705882353,0.5003058103975535,0.6895306859205776,0.6308724832214765,0.5178571428571429,0.8076199435559737,0.8936170212765957,0.8771106941838649,0.6421204620462047,0.48,0.3340587595212187
mnli+qqp+record+paws+imdb+winogrande,0.3161764705882353,0.4914373088685015,0.7184115523465704,0.6049856184084372,0.5357142857142857,0.7991533396048918,0.8909574468085106,0.8667917448405253,0.6382013201320133,0.46,0.24374319912948858
mnli+qqp+record+snli+anli_r1+hellaswag,0.3161764705882353,0.41743119266055045,0.555956678700361,0.6001917545541706,0.8035714285714286,0.8320790216368767,0.7632978723404256,0.7626641651031895,0.6538778877887789,0.34,0.3590859630032644
mnli+qqp+record+snli+anli_r1+imdb,0.3161764705882353,0.27370030581039756,0.5740072202166066,0.6327900287631831,0.8392857142857143,0.8264346190028222,0.8164893617021277,0.8264540337711069,0.639026402640264,0.29,0.29053318824809576
mnli+qqp+record+snli+anli_r1+paws,0.3161764705882353,0.48807339449541287,0.5812274368231047,0.5838926174496645,0.8035714285714286,0.8273753527751646,0.800531914893617,0.7607879924953096,0.661509900990099,0.17,0.07671381936887922
mnli+qqp+record+snli+anli_r1+winogrande,0.3161764705882353,0.41192660550458715,0.5595667870036101,0.5675934803451582,0.8571428571428571,0.8245531514581373,0.7686170212765957,0.7504690431519699,0.6575907590759076,0.33,0.24156692056583243
mnli+qqp+record+snli+hellaswag+winogrande,0.3161764705882353,0.45137614678899085,0.6245487364620939,0.5695110258868649,0.8392857142857143,0.8358419567262465,0.7526595744680851,0.6651031894934334,0.6532590759075908,0.58,0.4434167573449401
mnli+qqp+record+snli+imdb+hellaswag,0.3161764705882353,0.3412844036697248,0.6209386281588448,0.6222435282837967,0.8214285714285714,0.8301975540921919,0.8324468085106383,0.8255159474671669,0.6472772277227723,0.53,0.49455930359085964
mnli+qqp+record+snli+imdb+winogrande,0.3161764705882353,0.3370030581039755,0.6462093862815884,0.613614573346117,0.8571428571428571,0.8320790216368767,0.8271276595744681,0.8151969981238274,0.6415016501650165,0.52,0.3748639825897715
