method,combo,n_tasks,target,best_coef,best_acc,nai,sar,sar_iso
base,anli_r1+imdb+winogrande,3,rte,0.2,0.6462093862815884,0.7448275862068965,,
base,anli_r1+imdb+winogrande,3,cola,0.2,0.6097794822627037,-0.32571428571428607,,
base,anli_r1+imdb+winogrande,3,cb,0.8,0.5,0.7,,
base,anli_r1+imdb+winogrande,3,scitail,0.4,0.8010348071495766,0.831845238095238,,
base,anli_r1+imdb+winogrande,3,cr,0.30000000000000004,0.9069148936170213,0.9611307420494699,,
base,anli_r1+imdb+winogrande,3,rotten_tomatoes,0.35000000000000003,0.899624765478424,0.9687499999999999,,
base,anli_r1+imdb+winogrande,3,multirc,0.1,0.5117574257425742,0.17289486796213246,,
base,anli_r1+imdb+winogrande,3,copa,0.45,0.69,0.8666666666666666,,
base,anli_r1+imdb+winogrande,3,piqa,0.45,0.6692056583242655,0.6991150442477876,,
base,anli_r1+paws,2,mrpc,0.2,0.35049019607843135,0.40988372093023256,,
base,anli_r1+paws,2,boolq,0.15000000000000002,0.590519877675841,0.460791117279667,,
base,anli_r1+paws,2,rte,0.30000000000000004,0.6425992779783394,0.7379310344827588,,
base,anli_r1+paws,2,cola,0.4,0.5397890699904123,-0.7428571428571429,,
base,anli_r1+paws,2,cb,0.5,0.5714285714285714,0.7999999999999999,,
base,anli_r1+paws,2,scitail,0.4,0.8179680150517403,0.8497023809523809,,
base,anli_r1+paws,2,cr,0.35000000000000003,0.8457446808510638,0.8798586572438162,,
base,anli_r1+paws,2,rotten_tomatoes,0.4,0.7439024390243902,0.7432065217391304,,
base,anli_r1+paws,2,multirc,0.5,0.7345297029702971,0.7110114598903838,,
base,anli_r1+paws,2,copa,0.5,0.01,-0.6444444444444444,,
base,anli_r1+paws,2,piqa,0.5,0.004896626768226333,-0.8445006321112516,,
base,anli_r1+paws+hellaswag,3,mrpc,0.1,0.3431372549019608,0.40116279069767447,,
base,anli_r1+paws+hellaswag,3,boolq,0.1,0.6045871559633027,0.49271339347675214,,
base,anli_r1+paws+hellaswag,3,rte,0.25,0.6787003610108303,0.806896551724138,,
base,anli_r1+paws+hellaswag,3,cola,0.4,0.5647171620325983,-0.5942857142857148,,
base,anli_r1+paws+hellaswag,3,cb,0.45,0.5357142857142857,0.75,,
base,anli_r1+paws+hellaswag,3,scitail,0.35000000000000003,0.7737535277516463,0.8030753968253967,,
base,anli_r1+paws+hellaswag,3,cr,0.35000000000000003,0.875,0.9187279151943463,,
base,anli_r1+paws+hellaswag,3,rotten_tomatoes,0.35000000000000003,0.797373358348968,0.8206521739130436,,
base,anli_r1+paws+hellaswag,3,multirc,0.35000000000000003,0.7334983498349835,0.7085201793721975,,
