target,objective,exhaustive_best,exhaustive_subset,bo_best,bo_subset,bo_found_optimum,bo_evals_to_optimum,greedy_best,greedy_subset,greedy_evals,random_avg_best,bo_subset_acc,sar_opt_subset_acc,acc_best_subset,acc_best
mrpc,SAR (iso),0.6418564319610596,qnli+qqp+sst2,0.6418564319610596,qnli+qqp+sst2,True,17,0.6418564319610596,qnli+qqp+sst2,14,0.6381138849258423,0.6936274509803921,0.6936274509803921,mnli+qnli,0.7622549019607843
boolq,SAR (iso),0.6166841387748718,qqp+sst2,0.6148021221160889,mnli+sst2,False,,0.6154195070266724,qnli+mnli,12,0.6155940461158752,0.47155963302752296,0.3785932721712538,sst2+record,0.5559633027522936
rte,SAR (iso),0.6754952073097229,qnli+sst2,0.6754952073097229,qnli+sst2,True,15,0.6754952073097229,qnli+sst2,12,0.6725996756553649,0.6498194945848376,0.6498194945848376,mnli+qqp+sst2,0.7545126353790613
cola,SAR (iso),0.6309256553649902,sst2,0.6307840347290039,qnli+qqp+sst2,False,,0.6309256553649902,sst2,9,0.6303111553192139,0.6912751677852349,,qnli+sst2,0.6912751677852349
