method,combo,n_tasks,target,sar,sar_iso
base,mnli+snli+paws+hellaswag+winogrande,5,mrpc,0.5421269436732733,0.8597811090626887
base,mnli+snli+paws+hellaswag+winogrande,5,boolq,0.5850460218664791,0.8753496089151928
base,mnli+snli+paws+hellaswag+winogrande,5,rte,0.5874460331563439,0.873219051531383
base,mnli+snli+paws+hellaswag+winogrande,5,cola,0.5525830714697284,0.8568611381841558
base,mnli+snli+paws+hellaswag+winogrande,5,cb,0.5949414321886641,0.8915254707847323
base,mnli+snli+paws+hellaswag+winogrande,5,scitail,0.66209158860147,0.8898315054497549
base,mnli+snli+paws+hellaswag+winogrande,5,stsb,0.5006557074874374,0.8460438549518585
base,mnli+snli+paws+hellaswag+winogrande,5,cr,0.5495239771969084,0.8575921399252755
base,mnli+snli+paws+hellaswag+winogrande,5,rotten_tomatoes,0.556328356731683,0.8566401348050151
base,mnli+snli+paws+hellaswag+winogrande,5,multirc,0.588815095834434,0.8763461418982063
base,mnli+snli+paws+hellaswag+winogrande,5,copa,0.5039458542762857,0.8512430510350636
base,mnli+snli+paws+hellaswag+winogrande,5,piqa,0.6098167175160987,0.8799606271620307
base,mnli+snli+paws+imdb,4,mrpc,0.5361499078405488,0.8610363411051887
base,mnli+snli+paws+imdb,4,boolq,0.576683569267126,0.8757445676518338
base,mnli+snli+paws+imdb,4,rte,0.5841284881212881,0.8748793506196567
base,mnli+snli+paws+imdb,4,cola,0.5491879938635975,0.8580657954194716
base,mnli+snli+paws+imdb,4,cb,0.5947987075362887,0.8948014761720385
base,mnli+snli+paws+imdb,4,scitail,0.659304631341781,0.8906193604426724
base,mnli+snli+paws+imdb,4,stsb,0.4928423823023747,0.8452354831887143
base,mnli+snli+paws+imdb,4,cr,0.6003380064586443,0.8915696053632668
base,mnli+snli+paws+imdb,4,rotten_tomatoes,0.6269331118424556,0.8968241693718093
base,mnli+snli+paws+imdb,4,multirc,0.5796734123224658,0.8762899099716118
base,mnli+snli+paws+imdb,4,copa,0.4860670975342925,0.8450033039386783
base,mnli+snli+paws+imdb,4,piqa,0.5322172050696931,0.8522160031965801
base,mnli+snli+paws+imdb+hellaswag,5,mrpc,0.5445202821865678,0.8614592866173812
base,mnli+snli+paws+imdb+hellaswag,5,boolq,0.5829466107035322,0.8757719328360898
base,mnli+snli+paws+imdb+hellaswag,5,rte,0.5919808575085231,0.8752407756234918
base,mnli+snli+paws+imdb+hellaswag,5,cola,0.555792678380385,0.8582643424826009
base,mnli+snli+paws+imdb+hellaswag,5,cb,0.6047187447547913,0.8951701314321586
base,mnli+snli+paws+imdb+hellaswag,5,scitail,0.6632249001413584,0.8905628648187432
base,mnli+snli+paws+imdb+hellaswag,5,stsb,0.4985826249134594,0.8458795688514199
base,mnli+snli+paws+imdb+hellaswag,5,cr,0.6085558003812496,0.8914491784359727
base,mnli+snli+paws+imdb+hellaswag,5,rotten_tomatoes,0.6340876173094979,0.8965688797512225
base,mnli+snli+paws+imdb+hellaswag,5,multirc,0.5861410674239907,0.8764433301985264
base,mnli+snli+paws+imdb+hellaswag,5,copa,0.4983964644239417,0.8487891336636884
base,mnli+snli+paws+imdb+hellaswag,5,piqa,0.5714425930221166,0.8702121424887862
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,mrpc,0.5516071203996294,0.8615271986595222
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,boolq,0.5897313932156456,0.8757684563419649
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,rte,0.5974168237298727,0.8750795663467476
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,cola,0.5615264066561524,0.8586654971752848
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,cb,0.6115529505269868,0.8946522591369492
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,scitail,0.6665776792381491,0.8902981874666044
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,stsb,0.504200443010112,0.8461707018847976
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,cr,0.6161495200690946,0.8913585735218865
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,rotten_tomatoes,0.6403941178494799,0.8964270230914865
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,multirc,0.5918802811231997,0.8764238165957587
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,copa,0.5133212391852534,0.8524306307413748
base,mnli+snli+paws+imdb+hellaswag+winogrande,6,piqa,0.6132547397033444,0.8798235979463372
base,mnli+snli+paws+imdb+squad_v2,5,mrpc,0.5846040220265942,0.8631635819162641
base,mnli+snli+paws+imdb+squad_v2,5,boolq,0.630355759457286,0.8738743785236563
base,mnli+snli+paws+imdb+squad_v2,5,rte,0.6270910975124154,0.8745235822030476
base,mnli+snli+paws+imdb+squad_v2,5,cola,0.5916749299503863,0.8618880518312965
base,mnli+snli+paws+imdb+squad_v2,5,cb,0.6447149610945156,0.8904196907367025
base,mnli+snli+paws+imdb+squad_v2,5,scitail,0.6899441044245448,0.8884947039186954
base,mnli+snli+paws+imdb+squad_v2,5,stsb,0.5323577999536481,0.8470757856432881
base,mnli+snli+paws+imdb+squad_v2,5,cr,0.6535955905648214,0.8874277701335294
base,mnli+snli+paws+imdb+squad_v2,5,rotten_tomatoes,0.6765812401925879,0.8932667167059013
base,mnli+snli+paws+imdb+squad_v2,5,multirc,0.6391040766611695,0.8763321361371449
base,mnli+snli+paws+imdb+squad_v2,5,copa,0.5441897585322815,0.8487170096486807
base,mnli+snli+paws+imdb+squad_v2,5,piqa,0.5753190289251506,0.8546868562698364
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,mrpc,0.5889217112812081,0.8635771114911351
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,boolq,0.6361053063800293,0.8739542040441718
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,rte,0.6316442931337016,0.8749821398939405
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,cola,0.5957761204003224,0.8622453936508724
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,cb,0.650495455201183,0.8909974678286484
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,scitail,0.6916246717529637,0.8884260800800153
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,stsb,0.5364035365637392,0.8474425308938537
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,cr,0.6566025292101715,0.8874833456107548
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,rotten_tomatoes,0.6785607862818454,0.89316847947027
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,multirc,0.6446729144081473,0.8763992464435952
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,copa,0.5528642747418157,0.8512372739080872
base,mnli+snli+paws+imdb+squad_v2+hellaswag,6,piqa,0.6133490142944668,0.8685362304427794
base,mnli+snli+paws+imdb+squad_v2+hellaswag+winogrande,7,mrpc,0.5918050610926002,0.8636952026614121
