method,combo,n_tasks,target,sar,sar_iso
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,mrpc,0.6268103758671454,0.8677917096231665
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,boolq,0.6671907598418849,0.876763594735946
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,rte,0.7022085282951593,0.8967348065759454
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,cola,0.6112108310418469,0.8607483865427119
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,cb,0.6992332482976573,0.9005050754972866
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,scitail,0.7071863750794104,0.8897933454385826
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,stsb,0.5524495164198535,0.847360382388745
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,cr,0.6925380799387183,0.8905780815652439
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,rotten_tomatoes,0.7125208870108638,0.895295534815107
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,multirc,0.6607446401779141,0.8750239629298449
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,copa,0.5768720664616142,0.851903395993369
base,qnli+record+snli+anli_r1+paws+imdb+winogrande,7,piqa,0.6596979501524142,0.8729985143457141
base,qnli+record+snli+anli_r1+paws+squad_v2,6,mrpc,0.6427288188466004,0.8665836959012917
base,qnli+record+snli+anli_r1+paws+squad_v2,6,boolq,0.679710506860699,0.8752110517982926
base,qnli+record+snli+anli_r1+paws+squad_v2,6,rte,0.7118043774472815,0.8931544524218354
base,qnli+record+snli+anli_r1+paws+squad_v2,6,cola,0.6353429007743087,0.8615798806505544
base,qnli+record+snli+anli_r1+paws+squad_v2,6,cb,0.7048871828509229,0.8953522539564541
base,qnli+record+snli+anli_r1+paws+squad_v2,6,scitail,0.7175768323774848,0.888263640659196
base,qnli+record+snli+anli_r1+paws+squad_v2,6,stsb,0.5773078086120742,0.847939702549151
base,qnli+record+snli+anli_r1+paws+squad_v2,6,cr,0.627751342153975,0.8598154237759965
base,qnli+record+snli+anli_r1+paws+squad_v2,6,rotten_tomatoes,0.6232151579377907,0.8575106909764665
base,qnli+record+snli+anli_r1+paws+squad_v2,6,multirc,0.6822698720331702,0.8757713192275592
base,qnli+record+snli+anli_r1+paws+squad_v2,6,copa,0.5957365427166224,0.8491433765739202
base,qnli+record+snli+anli_r1+paws+squad_v2,6,piqa,0.6211617031533804,0.85536557143288
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,mrpc,0.6446004882454872,0.8667389074606555
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,boolq,0.6808215699025563,0.8751800291772399
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,rte,0.7134443021246365,0.8932318650186062
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,cola,0.6372123009392193,0.8618910126388073
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,cb,0.7073305528610945,0.8956171284828868
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,scitail,0.7182516295995031,0.8881640218730483
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,stsb,0.5816268656136734,0.848146398418716
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,cr,0.6299353187371578,0.8600095898977348
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,rotten_tomatoes,0.6249564754377518,0.8576617839613131
base,qnli+record+snli+anli_r1+paws+squad_v2+hellaswag,7,multirc,0.6835144039775644,0.8758495801261493
