method,combo,n_tasks,target,sar,sar_iso
base,anli_r1+hellaswag,2,mrpc,0.5721682161092758,0.8623212959085192
base,anli_r1+hellaswag,2,boolq,0.5512964406183788,0.8547288291156292
base,anli_r1+hellaswag,2,rte,0.6435195186308452,0.8838262180132526
base,anli_r1+hellaswag,2,cola,0.5635003021785191,0.8582986542688948
base,anli_r1+hellaswag,2,cb,0.725878510091986,0.9164201281964779
base,anli_r1+hellaswag,2,scitail,0.6759893769132239,0.8910965083965233
base,anli_r1+hellaswag,2,stsb,0.5053651527102504,0.8451620029019458
base,anli_r1+hellaswag,2,cr,0.5690320203346866,0.8592258526810578
base,anli_r1+hellaswag,2,rotten_tomatoes,0.5579565409570932,0.8562933379518134
base,anli_r1+hellaswag,2,multirc,0.5499102659523487,0.8558590507933072
base,anli_r1+hellaswag,2,copa,0.5483700672962836,0.8545972082231726
base,anli_r1+hellaswag,2,piqa,0.6571864640074117,0.881798489551459
base,anli_r1+hellaswag+winogrande,3,mrpc,0.5792179292600069,0.8615882330174957
base,anli_r1+hellaswag+winogrande,3,boolq,0.5667472922110132,0.8556826545723847
base,anli_r1+hellaswag+winogrande,3,rte,0.6416698925729308,0.8814452045730182
base,anli_r1+hellaswag+winogrande,3,cola,0.5738569261240107,0.8584234879485199
base,anli_r1+hellaswag+winogrande,3,cb,0.7123312077351979,0.9118364533143384
base,anli_r1+hellaswag+winogrande,3,scitail,0.6750117138560329,0.8887321100171123
base,anli_r1+hellaswag+winogrande,3,stsb,0.5193984579028827,0.8454784194805792
base,anli_r1+hellaswag+winogrande,3,cr,0.5864391433341163,0.8611186343644347
base,anli_r1+hellaswag+winogrande,3,rotten_tomatoes,0.5759954759851098,0.858050669410399
base,anli_r1+hellaswag+winogrande,3,multirc,0.5650378360546061,0.8568369506725243
base,anli_r1+hellaswag+winogrande,3,copa,0.5737543899033751,0.8591347876936197
base,anli_r1+hellaswag+winogrande,3,piqa,0.6939407866448164,0.8903924966497081
base,anli_r1+imdb,2,mrpc,0.5712479123446558,0.8665975742042065
base,anli_r1+imdb,2,boolq,0.5487121950968036,0.8578593962426696
base,anli_r1+imdb,2,rte,0.641848628542253,0.8883044320557799
base,anli_r1+imdb,2,cola,0.5625123776761549,0.8619216185595308
base,anli_r1+imdb,2,cb,0.7267761552440268,0.9222891320075307
base,anli_r1+imdb,2,scitail,0.6676300681595292,0.8929871911449092
base,anli_r1+imdb,2,stsb,0.4834984929433891,0.8450484658990588
base,anli_r1+imdb,2,cr,0.7303111159375736,0.9146783782967499
base,anli_r1+imdb,2,rotten_tomatoes,0.7470676467886993,0.9168169434581485
base,anli_r1+imdb,2,multirc,0.5301655041985214,0.8553364665380546
base,anli_r1+imdb,2,copa,0.5122434932605496,0.8483311616416488
base,anli_r1+imdb,2,piqa,0.5153425923947778,0.8492895189140525
base,anli_r1+imdb+hellaswag,3,mrpc,0.5904845888061183,0.8648625521787575
base,anli_r1+imdb+hellaswag,3,boolq,0.5719259497044342,0.8569010759570769
base,anli_r1+imdb+hellaswag,3,rte,0.6530468362782683,0.885009058884212
base,anli_r1+imdb+hellaswag,3,cola,0.5864887975954584,0.8616309647581407
base,anli_r1+imdb+hellaswag,3,cb,0.7287491828735385,0.9164201308573995
base,anli_r1+imdb+hellaswag,3,scitail,0.6811579657452447,0.8902234937995672
base,anli_r1+imdb+hellaswag,3,stsb,0.5174601334147155,0.845686032303742
base,anli_r1+imdb+hellaswag,3,cr,0.7333262791591031,0.9098440419350352
base,anli_r1+imdb+hellaswag,3,rotten_tomatoes,0.749197993427515,0.9117630885115692
base,anli_r1+imdb+hellaswag,3,multirc,0.5636707121240241,0.8564479659710612
base,anli_r1+imdb+hellaswag,3,copa,0.5655031784304551,0.8562554655862706
base,anli_r1+imdb+hellaswag,3,piqa,0.6567872603024755,0.8797392690820354
base,anli_r1+imdb+hellaswag+winogrande,4,mrpc,0.5951871840017182,0.8642301309321608
base,anli_r1+imdb+hellaswag+winogrande,4,boolq,0.5820421859888094,0.8571655130279916
base,anli_r1+imdb+hellaswag+winogrande,4,rte,0.6525692218648536,0.8831135369837284
base,anli_r1+imdb+hellaswag+winogrande,4,cola,0.5928648967029793,0.8614828857992377
base,anli_r1+imdb+hellaswag+winogrande,4,cb,0.7205677426287106,0.9129503805722509
base,anli_r1+imdb+hellaswag+winogrande,4,scitail,0.6815404931881598,0.8884661503668342
base,anli_r1+imdb+hellaswag+winogrande,4,stsb,0.5280678743895676,0.845942960785968
base,anli_r1+imdb+hellaswag+winogrande,4,cr,0.7318263040589434,0.9076857417821884
base,anli_r1+imdb+hellaswag+winogrande,4,rotten_tomatoes,0.7469039287950311,0.9096510852021831
