method,combo,n_tasks,target,sar,sar_iso
base,mnli+record+anli_r1,3,mrpc,0.618693295866251,0.8612838698817151
base,mnli+record+anli_r1,3,boolq,0.6102894374302456,0.8559511160211903
base,mnli+record+anli_r1,3,rte,0.6657341247690576,0.8761992422597749
base,mnli+record+anli_r1,3,cola,0.6147995764123542,0.8574288883911712
base,mnli+record+anli_r1,3,cb,0.707961288147739,0.8991212365882737
base,mnli+record+anli_r1,3,scitail,0.7168864389615399,0.8891666627355984
base,mnli+record+anli_r1,3,stsb,0.5631607297940978,0.8456901551357338
base,mnli+record+anli_r1,3,cr,0.6203960880104985,0.8588844380740609
base,mnli+record+anli_r1,3,rotten_tomatoes,0.6192271560430527,0.8576764200947115
base,mnli+record+anli_r1,3,multirc,0.6244447331077286,0.8596725349447557
base,mnli+record+anli_r1,3,copa,0.5760699571775538,0.8461468677435603
base,mnli+record+anli_r1,3,piqa,0.6040522305827055,0.8526475626443114
base,mnli+record+anli_r1+hellaswag,4,mrpc,0.6233535781502724,0.8616239127836057
base,mnli+record+anli_r1+hellaswag,4,boolq,0.614858098993344,0.8562879479889359
base,mnli+record+anli_r1+hellaswag,4,rte,0.6702670957893133,0.8766137819205012
base,mnli+record+anli_r1+hellaswag,4,cola,0.6197317223995924,0.857925762555429
base,mnli+record+anli_r1+hellaswag,4,cb,0.7125543289418731,0.8991513683327607
base,mnli+record+anli_r1+hellaswag,4,scitail,0.7186495627143553,0.8890269475855997
base,mnli+record+anli_r1+hellaswag,4,stsb,0.5706689208745956,0.8463121527539832
base,mnli+record+anli_r1+hellaswag,4,cr,0.6247011934007917,0.8592444796647344
base,mnli+record+anli_r1+hellaswag,4,rotten_tomatoes,0.6223733645996877,0.8577458446047136
base,mnli+record+anli_r1+hellaswag,4,multirc,0.6286959967442921,0.8600384289664882
base,mnli+record+anli_r1+hellaswag,4,copa,0.5896374164149165,0.8499597372221095
base,mnli+record+anli_r1+hellaswag,4,piqa,0.6641786699848515,0.8692780248820782
base,mnli+record+anli_r1+hellaswag+winogrande,5,mrpc,0.6251105594315699,0.8617951598550592
base,mnli+record+anli_r1+hellaswag+winogrande,5,boolq,0.6180355622033987,0.8567225922431264
base,mnli+record+anli_r1+hellaswag+winogrande,5,rte,0.6707764254616839,0.8764755129814148
base,mnli+record+anli_r1+hellaswag+winogrande,5,cola,0.6217019689668503,0.858239374522652
base,mnli+record+anli_r1+hellaswag+winogrande,5,cb,0.7118177693337202,0.8986078527356897
base,mnli+record+anli_r1+hellaswag+winogrande,5,scitail,0.7188667080232075,0.8887963875063828
base,mnli+record+anli_r1+hellaswag+winogrande,5,stsb,0.5729623836066041,0.8464036017124142
base,mnli+record+anli_r1+hellaswag+winogrande,5,cr,0.628649468932833,0.8600341613803592
base,mnli+record+anli_r1+hellaswag+winogrande,5,rotten_tomatoes,0.6260556702369026,0.8584087948713984
base,mnli+record+anli_r1+hellaswag+winogrande,5,multirc,0.630349487199315,0.8602838816919497
base,mnli+record+anli_r1+hellaswag+winogrande,5,copa,0.6007461736776999,0.8531125174569232
base,mnli+record+anli_r1+hellaswag+winogrande,5,piqa,0.6944150693182435,0.878837193495461
base,mnli+record+anli_r1+imdb,4,mrpc,0.6259737826351609,0.8632300538676125
base,mnli+record+anli_r1+imdb,4,boolq,0.6151335049154503,0.8568702723298754
base,mnli+record+anli_r1+imdb,4,rte,0.6730613476995911,0.8782961171652589
base,mnli+record+anli_r1+imdb,4,cola,0.6221340974526746,0.8593122009187937
base,mnli+record+anli_r1+imdb,4,cb,0.7191764595253127,0.9019082837871143
base,mnli+record+anli_r1+imdb,4,scitail,0.7192568371870688,0.8896025882235595
base,mnli+record+anli_r1+imdb,4,stsb,0.5651719970628619,0.8457859397998878
base,mnli+record+anli_r1+imdb,4,cr,0.7154533958860806,0.8925218555544104
base,mnli+record+anli_r1+imdb,4,rotten_tomatoes,0.7353968399443797,0.8974738594676767
base,mnli+record+anli_r1+imdb,4,multirc,0.6264321177399584,0.8598709758371115
base,mnli+record+anli_r1+imdb,4,copa,0.583309634854751,0.8477895411529711
base,mnli+record+anli_r1+imdb,4,piqa,0.6056412966655833,0.8528189291911465
base,mnli+record+anli_r1+imdb+hellaswag,5,mrpc,0.6296099586678403,0.863453423338277
base,mnli+record+anli_r1+imdb+hellaswag,5,boolq,0.6190164049289056,0.8571186307817698
base,mnli+record+anli_r1+imdb+hellaswag,5,rte,0.6764666738786868,0.8785372163568225
base,mnli+record+anli_r1+imdb+hellaswag,5,cola,0.6262215226888657,0.8598088856254306
base,mnli+record+anli_r1+imdb+hellaswag,5,cb,0.7221591903695038,0.9016897923180035
base,mnli+record+anli_r1+imdb+hellaswag,5,scitail,0.7207650893500873,0.8894539174756834
base,mnli+record+anli_r1+imdb+hellaswag,5,stsb,0.5721674759739211,0.8463645750390631
base,mnli+record+anli_r1+imdb+hellaswag,5,cr,0.7169939420585122,0.8922561252755778
base,mnli+record+anli_r1+imdb+hellaswag,5,rotten_tomatoes,0.7360517457127571,0.897019485277789
base,mnli+record+anli_r1+imdb+hellaswag,5,multirc,0.630272325394409,0.8602249635649579
base,mnli+record+anli_r1+imdb+hellaswag,5,copa,0.5958800047103848,0.8514452813459295
base,mnli+record+anli_r1+imdb+hellaswag,5,piqa,0.6644997596740723,0.8692981292094503
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,mrpc,0.6308866161853075,0.8635892559375081
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,boolq,0.62146434666855,0.8574604328189578
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,rte,0.6766527523951871,0.8782909230462143
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,cola,0.6277878293767571,0.8599290903657675
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,cb,0.7210139259696007,0.901138928851911
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,scitail,0.7206565538155181,0.8891553987881967
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,stsb,0.5741199807130865,0.8466009407171181
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,cr,0.7179806546441146,0.8922268790858132
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,rotten_tomatoes,0.7364696038088628,0.8969342213656221
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,multirc,0.6316368653039847,0.8604496749384063
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,copa,0.6058763691357204,0.8543834521302155
base,mnli+record+anli_r1+imdb+hellaswag+winogrande,6,piqa,0.6943234223872423,0.8788109738379717
base,mnli+record+anli_r1+imdb+squad_v2,5,mrpc,0.6521974932402372,0.8643712263022151
base,mnli+record+anli_r1+imdb+squad_v2,5,boolq,0.6411827233220849,0.857680182904005
base,mnli+record+anli_r1+imdb+squad_v2,5,rte,0.6910024256046329,0.87738087028265
base,mnli+record+anli_r1+imdb+squad_v2,5,cola,0.6546705045870372,0.8617817386984825
base,mnli+record+anli_r1+imdb+squad_v2,5,cb,0.7273698294801372,0.8979274369776249
base,mnli+record+anli_r1+imdb+squad_v2,5,scitail,0.7302799331290382,0.8880925263677325
base,mnli+record+anli_r1+imdb+squad_v2,5,stsb,0.5969686623928803,0.8470269723662308
base,mnli+record+anli_r1+imdb+squad_v2,5,cr,0.7242933988038983,0.8892230370215007
base,mnli+record+anli_r1+imdb+squad_v2,5,rotten_tomatoes,0.7415697375046355,0.8946453061486993
base,mnli+record+anli_r1+imdb+squad_v2,5,multirc,0.6561078221670219,0.8615556361951998
base,mnli+record+anli_r1+imdb+squad_v2,5,copa,0.6179692213024411,0.8502005115151405
base,mnli+record+anli_r1+imdb+squad_v2,5,piqa,0.6348040566912719,0.8539823533168861
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,mrpc,0.6541462298482656,0.8646586069038936
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,boolq,0.6430877878197602,0.8578945182796035
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,rte,0.6930377355643681,0.8776702401893479
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,cola,0.6571536064147949,0.8622438308915922
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,cb,0.729425857375775,0.8979162403515407
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,scitail,0.7310788229640041,0.8880254748676505
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,stsb,0.6006391311862639,0.8472704419067928
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,cr,0.725300421672208,0.889090566762856
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,rotten_tomatoes,0.7419663138155427,0.8943534259285245
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,multirc,0.6578835755852717,0.8617675344326666
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,copa,0.6262298739914384,0.8528343122452497
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag,6,piqa,0.6798057045255389,0.867958485015801
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,mrpc,0.6544193880898612,0.8647465179009097
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,boolq,0.6443344671279192,0.8582010253199509
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,rte,0.6928082020687205,0.8775253434266362
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,cola,0.6574138283197369,0.8622939980455807
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,cb,0.7281910447137696,0.897467456225838
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,scitail,0.7305277498172862,0.8878580547337022
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,stsb,0.6012005720819745,0.8474542759358883
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,cr,0.7258532999881676,0.889220983854362
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,rotten_tomatoes,0.7420066137398992,0.8943422569760254
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,multirc,0.6580947995451945,0.8619521917509181
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,copa,0.6325281270380531,0.855217098657574
base,mnli+record+anli_r1+imdb+squad_v2+hellaswag+winogrande,7,piqa,0.7056313774415425,0.8772032476429429
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,mrpc,0.6530168649873563,0.8645083334829126
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,boolq,0.6433190075414521,0.858053392331515
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,rte,0.6910830225263324,0.8773752456264836
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,cola,0.6557612927364451,0.8618302882782051
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,cb,0.7264399390135493,0.897491377379213
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,scitail,0.7302188383681434,0.8879513067326376
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,stsb,0.5986498807157788,0.8472499791532755
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,cr,0.7251782084682158,0.8893339538148471
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,rotten_tomatoes,0.7420031654515437,0.8945822172931263
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,multirc,0.657195840696139,0.8617667460015842
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,copa,0.6266875426684108,0.8532334015305553
base,mnli+record+anli_r1+imdb+squad_v2+winogrande,6,piqa,0.6885761953890324,0.871042199698942
base,mnli+record+anli_r1+imdb+winogrande,5,mrpc,0.6284359720136438,0.8634242330278669
base,mnli+record+anli_r1+imdb+winogrande,5,boolq,0.6192504944545882,0.8573166906301465
base,mnli+record+anli_r1+imdb+winogrande,5,rte,0.6740777245057481,0.8781094529799053
base,mnli+record+anli_r1+imdb+winogrande,5,cola,0.6248261401695865,0.8595300335437059
base,mnli+record+anli_r1+imdb+winogrande,5,cb,0.7188377204750266,0.9013019933232239
base,mnli+record+anli_r1+imdb+winogrande,5,scitail,0.7198012239698853,0.8893211702150958
