method,combo,n_tasks,target,sar,sar_iso
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,mrpc,0.6309320437056678,0.8668837541980403
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,boolq,0.661864950853799,0.8750112360077245
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,rte,0.685873665447746,0.889230551464217
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,cola,0.6120648122658687,0.8585804458707571
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,cb,0.6503815557807684,0.8809005772428853
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,scitail,0.7017306943557092,0.886489309902702
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,stsb,0.5620360703074506,0.8475738212998424
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,cr,0.6084413602282959,0.8580867459199258
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,rotten_tomatoes,0.6080173422316355,0.8563961825732674
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,multirc,0.6605811326631478,0.8743792921304703
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,copa,0.5801404769798475,0.8518537080713681
base,qnli+qqp+record+snli+paws+hellaswag+winogrande,7,piqa,0.6745134629309177,0.8776491776640926
base,qnli+qqp+record+snli+paws+imdb,6,mrpc,0.6313194507466895,0.8679809261645589
base,qnli+qqp+record+snli+paws+imdb,6,boolq,0.6604413163981268,0.8752215736146484
base,qnli+qqp+record+snli+paws+imdb,6,rte,0.687558725476265,0.8906706188406263
base,qnli+qqp+record+snli+paws+imdb,6,cola,0.6129527491118226,0.8594467834170375
base,qnli+qqp+record+snli+paws+imdb,6,cb,0.6550122786845479,0.8835841651473727
base,qnli+qqp+record+snli+paws+imdb,6,scitail,0.7022997960448265,0.887144868129066
base,qnli+qqp+record+snli+paws+imdb,6,stsb,0.557282497374607,0.8472770492413214
base,qnli+qqp+record+snli+paws+imdb,6,cr,0.6772222378557282,0.8863335485969271
base,qnli+qqp+record+snli+paws+imdb,6,rotten_tomatoes,0.6987325373504844,0.8921210952103138
base,qnli+qqp+record+snli+paws+imdb,6,multirc,0.6580121179244348,0.8742191416344472
base,qnli+qqp+record+snli+paws+imdb,6,copa,0.5675706451625696,0.8474895821085998
base,qnli+qqp+record+snli+paws+imdb,6,piqa,0.6017278633745653,0.8545701993363244
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,mrpc,0.6338666339537927,0.8681376650929451
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,boolq,0.6624012439112578,0.8752641957253218
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,rte,0.6901535764336586,0.8908890922154699
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,cola,0.6153658330440521,0.859727476590446
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,cb,0.6595071580793176,0.8841406963765621
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,scitail,0.7033015750348568,0.8870334561382022
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,stsb,0.5611282078815358,0.8475635605198997
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,cr,0.6796671440159636,0.8863782765609878
base,qnli+qqp+record+snli+paws+imdb+hellaswag,7,rotten_tomatoes,0.7004656914089408,0.8920291428055082
