method,combo,n_tasks,target,sar,sar_iso
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,mrpc,0.6540321774248566,0.8665144140166896
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,boolq,0.6311875615002853,0.85738362797669
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,rte,0.6801308372191021,0.8762595696108681
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,cola,0.6421926438010165,0.8604661069278207
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,cb,0.6968882397881576,0.8906136958726815
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,scitail,0.7076492733987314,0.8837185648402998
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,stsb,0.5886990894297404,0.8474672790616751
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,cr,0.7345802611006158,0.8959482727306229
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,rotten_tomatoes,0.7483448082847255,0.8988545648753643
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,multirc,0.6360386379861406,0.8584246377327612
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,copa,0.6185898951121739,0.8547455668449402
base,qqp+sst2+record+anli_r1+hellaswag+winogrande,6,piqa,0.7033292824136359,0.8787936642765999
base,qqp+sst2+record+anli_r1+imdb,5,mrpc,0.6505177534584489,0.8673398202019078
base,qqp+sst2+record+anli_r1+imdb,5,boolq,0.6241279263049364,0.8572758896542447
base,qqp+sst2+record+anli_r1+imdb,5,rte,0.6777928836111512,0.8775469474494457
base,qqp+sst2+record+anli_r1+imdb,5,cola,0.6372433906820204,0.8607248445706708
base,qqp+sst2+record+anli_r1+imdb,5,cb,0.6961046861085508,0.8931467586330005
base,qqp+sst2+record+anli_r1+imdb,5,scitail,0.7042121738195419,0.8841558154672384
base,qqp+sst2+record+anli_r1+imdb,5,stsb,0.5783140991947481,0.8469249579523291
base,qqp+sst2+record+anli_r1+imdb,5,cr,0.758306552789041,0.9060935559017318
base,qqp+sst2+record+anli_r1+imdb,5,rotten_tomatoes,0.7720552488629308,0.908865072365318
base,qqp+sst2+record+anli_r1+imdb,5,multirc,0.627945083193481,0.8577072891805854
base,qqp+sst2+record+anli_r1+imdb,5,copa,0.598136780783534,0.8493947514465877
base,qqp+sst2+record+anli_r1+imdb,5,piqa,0.6182915398052761,0.8534768213118825
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,mrpc,0.6536971900079932,0.8675885418696063
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,boolq,0.6275021975327816,0.8574719804206065
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,rte,0.6808906508875745,0.8777183054813317
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,cola,0.640801969183875,0.8611604837434632
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,cb,0.7001970298588276,0.8931550963648728
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,scitail,0.705637725336211,0.883953994140029
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,stsb,0.5838900207807975,0.8473915585449764
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,cr,0.7589657131050315,0.90565403763737
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,rotten_tomatoes,0.7724758035370282,0.9083179214171001
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,multirc,0.6320450277999043,0.8581558912992477
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,copa,0.608919110016099,0.8526070370737996
base,qqp+sst2+record+anli_r1+imdb+hellaswag,6,piqa,0.6685742248914072,0.8691873036857162
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,mrpc,0.6547622502382312,0.8675453513860703
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,boolq,0.6298297760742051,0.8577963002026081
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,rte,0.6811980344355106,0.8774637702320304
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,cola,0.6420711231018815,0.8613334644053664
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,cb,0.7003628161868879,0.8925722283976418
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,scitail,0.7059670290244477,0.8838207647204399
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,stsb,0.5860152068281812,0.8475197934146438
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,cr,0.7590579010014024,0.9053452595004013
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,rotten_tomatoes,0.7723050160067422,0.9079831854573318
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,multirc,0.6338166408906025,0.8584468101284334
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,copa,0.6184760035414781,0.8554666816656079
base,qqp+sst2+record+anli_r1+imdb+hellaswag+winogrande,7,piqa,0.700976741633245,0.8787083655063596
base,qqp+sst2+record+anli_r1+imdb+squad_v2,6,mrpc,0.6690663211047649,0.8674441325877394
base,qqp+sst2+record+anli_r1+imdb+squad_v2,6,boolq,0.6464801571731057,0.858072433088507
base,qqp+sst2+record+anli_r1+imdb+squad_v2,6,rte,0.6945492021207299,0.8764322203184877
base,qqp+sst2+record+anli_r1+imdb+squad_v2,6,cola,0.6649450819407191,0.8631900386618716
