method,combo,n_tasks,target,sar,sar_iso
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,mrpc,0.6645531582513026,0.8691454311566693
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,boolq,0.6970191754932914,0.8765474267836127
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,rte,0.7287991906383208,0.8947215133479663
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,cola,0.6549573516739267,0.863487850076386
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,cb,0.7256478630006313,0.8975677894694465
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,scitail,0.7335642195705857,0.8901108418192182
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,stsb,0.5970797804849488,0.8483387769332954
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,cr,0.7207330896386078,0.8886593617498875
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,rotten_tomatoes,0.7367036369230066,0.8936796523630619
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,multirc,0.699509766751102,0.8773261532187462
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,copa,0.6259216349571943,0.8550789318978786
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,9,piqa,0.7011192238756588,0.8771734769855227
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,mrpc,0.6637524552643299,0.8690498066799981
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,boolq,0.6967172452381679,0.8766330190535102
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,rte,0.7279632099504981,0.8947473450430802
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,cola,0.6535467353782484,0.8631246193711247
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,cb,0.7242247036525181,0.8975932023354939
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,scitail,0.7333944008818695,0.8902855786894049
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,stsb,0.5946893866306969,0.8480805438011885
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,cr,0.7204225441174847,0.88872501041208
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,rotten_tomatoes,0.7368120692138161,0.8938397562929562
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,multirc,0.6989627778530121,0.8773320482245514
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,copa,0.6210505954389062,0.8532515508787972
base,mnli+qnli+record+anli_r1+paws+imdb+squad_v2+winogrande,8,piqa,0.6850520484149456,0.8714487981051207
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,mrpc,0.6466893689440829,0.8690665859196868
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,boolq,0.6851353951330695,0.8778719981866223
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,rte,0.7191606964915991,0.8973774372466973
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,cola,0.6259595742449164,0.860908765611904
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,cb,0.716226546892098,0.9007455153124673
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,scitail,0.7246459698570626,0.8916425175432648
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,stsb,0.5690849674865603,0.8472924376172679
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,cr,0.7122863613601241,0.8913854749075004
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,rotten_tomatoes,0.7312850835067886,0.8962003748331752
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,multirc,0.6821790989488363,0.8770899985517774
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,copa,0.5939032954296896,0.8521063910531146
base,mnli+qnli+record+anli_r1+paws+imdb+winogrande,7,piqa,0.6720387496586356,0.8723632131836244
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,mrpc,0.6598636460091386,0.8679486614252839
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,boolq,0.6948305873998574,0.8761757255664894
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,rte,0.7250439168087074,0.8937836768371719
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,cola,0.6491695927189929,0.8616635956402335
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,cb,0.7176835132496697,0.8955842911132744
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,scitail,0.7326904790742057,0.8901300230728728
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,stsb,0.5928497708269528,0.8477932696363756
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,cr,0.6464693208358118,0.8612254807459456
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,rotten_tomatoes,0.6434272760525346,0.8595144168606826
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,multirc,0.6988277448607343,0.877329657120364
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,copa,0.6110305645103965,0.8496492518378156
base,mnli+qnli+record+anli_r1+paws+squad_v2,6,piqa,0.6318814046680927,0.8548407743551901
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,mrpc,0.6614751853048801,0.8679979337113244
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,boolq,0.6958450219993081,0.8761469495615789
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,rte,0.7264849485031196,0.8938995817942279
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,cola,0.6513881148504359,0.8620871286839247
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,cb,0.7200289621417012,0.8957294278911182
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,scitail,0.7333105235759702,0.8900227371071067
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,stsb,0.5965004458225199,0.8480410147458315
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,cr,0.6484742199203798,0.8615090466503587
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,rotten_tomatoes,0.6448199605303151,0.8595286554523877
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,multirc,0.6998875218310526,0.8773437687861068
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,copa,0.6183378108377967,0.8520219392542329
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag,7,piqa,0.6756020257515567,0.8681335664753403
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,mrpc,0.6617792041174003,0.8680179667259965
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,boolq,0.6963319653379065,0.8762678174035889
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,rte,0.7259099975760493,0.8936202707035201
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,cola,0.6518821495452097,0.8622877329055753
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,cb,0.7191268735166106,0.8954235405794212
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,scitail,0.7327990007719823,0.8898982828749078
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,stsb,0.5971148244238326,0.8482730162463018
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,cr,0.6504385484648603,0.8619948944875172
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,rotten_tomatoes,0.6465908984786698,0.8600114163543496
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,multirc,0.6998432142926114,0.8773597058440957
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,copa,0.6241969995732818,0.854198692632573
base,mnli+qnli+record+anli_r1+paws+squad_v2+hellaswag+winogrande,8,piqa,0.7015735818339246,0.8772703294775316
