method,combo,n_tasks,target,sar,sar_iso
base,qqp+snli+paws+hellaswag,4,mrpc,0.5860602500449333,0.8633049439106669
base,qqp+snli+paws+hellaswag,4,boolq,0.6182412622230393,0.873992553779057
base,qqp+snli+paws+hellaswag,4,rte,0.6149389185011387,0.8722541497222015
base,qqp+snli+paws+hellaswag,4,cola,0.5769304147522364,0.8566858481083598
base,qqp+snli+paws+hellaswag,4,cb,0.6029801802443606,0.8806895948946476
base,qqp+snli+paws+hellaswag,4,scitail,0.671285676370774,0.8858705769692149
base,qqp+snli+paws+hellaswag,4,stsb,0.5277266384967204,0.8464659497674022
base,qqp+snli+paws+hellaswag,4,cr,0.5664160346412765,0.8552607508110148
base,qqp+snli+paws+hellaswag,4,rotten_tomatoes,0.5694808603397438,0.8541202547826937
base,qqp+snli+paws+hellaswag,4,multirc,0.6220508216481123,0.8742514226053443
base,qqp+snli+paws+hellaswag,4,copa,0.5300939622933843,0.8474283787821021
base,qqp+snli+paws+hellaswag,4,piqa,0.6093540148410413,0.8700038234570197
base,qqp+snli+paws+hellaswag+winogrande,5,mrpc,0.5924077693905149,0.8635326416364738
base,qqp+snli+paws+hellaswag+winogrande,5,boolq,0.6267565309203097,0.874324161027159
base,qqp+snli+paws+hellaswag+winogrande,5,rte,0.6203034325901952,0.8721973781606981
base,qqp+snli+paws+hellaswag+winogrande,5,cola,0.5828498624531286,0.8570131954870054
base,qqp+snli+paws+hellaswag+winogrande,5,cb,0.6095692315804107,0.8804656453430653
base,qqp+snli+paws+hellaswag+winogrande,5,scitail,0.6749690757798297,0.8857508660959346
base,qqp+snli+paws+hellaswag+winogrande,5,stsb,0.5334585670581353,0.8467335232666561
base,qqp+snli+paws+hellaswag+winogrande,5,cr,0.5768654639167445,0.8564413381474358
base,qqp+snli+paws+hellaswag+winogrande,5,rotten_tomatoes,0.5792812878665116,0.8551799782684871
base,qqp+snli+paws+hellaswag+winogrande,5,multirc,0.6288440597376653,0.874427900516561
base,qqp+snli+paws+hellaswag+winogrande,5,copa,0.5459632805681655,0.8513168282806873
base,qqp+snli+paws+hellaswag+winogrande,5,piqa,0.6485958712042442,0.8796819844948394
base,qqp+snli+paws+imdb,4,mrpc,0.5894004332699946,0.8649478538760117
base,qqp+snli+paws+imdb,4,boolq,0.6200113726247635,0.8746501023748091
base,qqp+snli+paws+imdb,4,rte,0.6187007701290506,0.8738973364233971
base,qqp+snli+paws+imdb,4,cola,0.5813397962067809,0.8581544163503817
base,qqp+snli+paws+imdb,4,cb,0.6115242141698088,0.8838702977768013
base,qqp+snli+paws+imdb,4,scitail,0.6730372788650649,0.8866944379572358
base,qqp+snli+paws+imdb,4,stsb,0.5257230197811233,0.8461610360869339
base,qqp+snli+paws+imdb,4,cr,0.6446750871171909,0.8893839913819518
base,qqp+snli+paws+imdb,4,rotten_tomatoes,0.6694891589826771,0.8948010629309076
base,qqp+snli+paws+imdb,4,multirc,0.6206756568114672,0.8741173302488667
base,qqp+snli+paws+imdb,4,copa,0.5273585774869259,0.8452946982745614
base,qqp+snli+paws+imdb,4,piqa,0.5683687210881284,0.8530674520879984
base,qqp+snli+paws+imdb+hellaswag,5,mrpc,0.5950826865487865,0.8653027048068387
base,qqp+snli+paws+imdb+hellaswag,5,boolq,0.6263484099347677,0.874719842470118
base,qqp+snli+paws+imdb+hellaswag,5,rte,0.6250793771552188,0.874493691005877
base,qqp+snli+paws+imdb+hellaswag,5,cola,0.5865178239265723,0.8585271090269089
base,qqp+snli+paws+imdb+hellaswag,5,cb,0.6203551374908004,0.8845994004181453
base,qqp+snli+paws+imdb+hellaswag,5,scitail,0.676402874024851,0.8864918313920498
base,qqp+snli+paws+imdb+hellaswag,5,stsb,0.531578118613522,0.8467527383140155
base,qqp+snli+paws+imdb+hellaswag,5,cr,0.6499365645992968,0.8893237300217152
base,qqp+snli+paws+imdb+hellaswag,5,rotten_tomatoes,0.6735013699425119,0.8946220526205642
base,qqp+snli+paws+imdb+hellaswag,5,multirc,0.6273190694461975,0.874380513759596
base,qqp+snli+paws+imdb+hellaswag,5,copa,0.5398382054907935,0.8490327609969037
base,qqp+snli+paws+imdb+hellaswag,5,piqa,0.6123827045916447,0.8700005531843219
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,mrpc,0.6011092548391649,0.8653487195926053
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,boolq,0.6322072060512645,0.8749313125652927
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,rte,0.6296116504818201,0.8743736429938248
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,cola,0.5916173218616417,0.858777465564864
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,cb,0.625879899465612,0.8842076009937695
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,scitail,0.6792071107774973,0.8863223011472395
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,stsb,0.5367857776582241,0.8469207193702459
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,cr,0.656154228307839,0.8893771059811115
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,rotten_tomatoes,0.6784247187897563,0.8946495966187545
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,multirc,0.6318531282512205,0.8745268939861229
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,copa,0.5552050408774188,0.8523753833557878
base,qqp+snli+paws+imdb+hellaswag+winogrande,6,piqa,0.6513638370005148,0.8795969049845423
base,qqp+snli+paws+imdb+squad_v2,5,mrpc,0.6274827939591238,0.865568107260125
base,qqp+snli+paws+imdb+squad_v2,5,boolq,0.6624933369457722,0.8735473350222621
base,qqp+snli+paws+imdb+squad_v2,5,rte,0.6540146041661501,0.8729967618627208
base,qqp+snli+paws+imdb+squad_v2,5,cola,0.6221862178561943,0.8616150790559394
base,qqp+snli+paws+imdb+squad_v2,5,cb,0.6529737253274236,0.880109255867345
base,qqp+snli+paws+imdb+squad_v2,5,scitail,0.7002334852835962,0.8848076800682715
base,qqp+snli+paws+imdb+squad_v2,5,stsb,0.5643789377728743,0.8477357264075961
base,qqp+snli+paws+imdb+squad_v2,5,cr,0.6846952170931867,0.8859908479665007
base,qqp+snli+paws+imdb+squad_v2,5,rotten_tomatoes,0.7054484294993537,0.8917358608118126
base,qqp+snli+paws+imdb+squad_v2,5,multirc,0.669835821592382,0.8752476953502212
base,qqp+snli+paws+imdb+squad_v2,5,copa,0.5793632356716054,0.8491484275353807
base,qqp+snli+paws+imdb+squad_v2,5,piqa,0.6068802337561335,0.8552292705114398
base,qqp+snli+paws+imdb+squad_v2+hellaswag,6,mrpc,0.630423405872924,0.8658953234553337
base,qqp+snli+paws+imdb+squad_v2+hellaswag,6,boolq,0.6648800104324307,0.8735822375331607
base,qqp+snli+paws+imdb+squad_v2+hellaswag,6,rte,0.6575353975806918,0.8735724315047264
base,qqp+snli+paws+imdb+squad_v2+hellaswag,6,cola,0.6256832062665906,0.861963564530015
base,qqp+snli+paws+imdb+squad_v2+hellaswag,6,cb,0.6583286366824593,0.8808850630053452
base,qqp+snli+paws+imdb+squad_v2+hellaswag,6,scitail,0.7016057534409421,0.8847289540405784
