method,combo,n_tasks,target,sar,sar_iso
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,mrpc,0.6544244443731648,0.8715183793434075
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,boolq,0.6754125862249306,0.8762323278933764
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,rte,0.7140416827585016,0.8949811932231698
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,cola,0.6381150225975684,0.8647241113441331
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,cb,0.7067499434841531,0.8968340105244091
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,scitail,0.7264557568622487,0.891930626971381
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,stsb,0.5737822606627431,0.8486571719071695
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,cr,0.7380236123821565,0.9005869238504342
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,rotten_tomatoes,0.7538797557353973,0.9039409634258065
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,multirc,0.6774850942726646,0.8768589589744806
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,copa,0.5955659582146576,0.8524297177791595
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag,9,piqa,0.6493344099393913,0.8680390625127724
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,mrpc,0.6554787850805691,0.871558706675257
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,boolq,0.6775125078856945,0.8762801632817302
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,rte,0.7141352918531213,0.894764030618327
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,cola,0.6397604073530861,0.8648174460977316
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,cb,0.7068090587854385,0.8966020505343165
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,scitail,0.7264821526727506,0.8917897213250399
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,stsb,0.5753281733819416,0.8486958614417485
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,cr,0.7386553566902876,0.9005055890551635
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,rotten_tomatoes,0.754110438483102,0.9038462010877473
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,multirc,0.6794019181813512,0.8769090678542852
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,copa,0.6027560738314476,0.8545554155217749
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+hellaswag+winogrande,10,piqa,0.6808778083484087,0.8770084564707109
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,mrpc,0.6541141157171556,0.8715195198144231
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,boolq,0.6754796920078141,0.8763290476053953
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,rte,0.712830677362425,0.8947373468961034
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,cola,0.6374933311183538,0.8646472519529718
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,cb,0.7046894968620369,0.8965132880423751
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,scitail,0.7260546253195831,0.891952747212989
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,stsb,0.5729509516885238,0.8484819829463959
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,cr,0.7381950478468623,0.9006626584700176
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,rotten_tomatoes,0.75394535277571,0.9040281623601913
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,multirc,0.6769780269158738,0.8768542023109538
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,copa,0.5973621693306735,0.8529075458645821
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+squad_v2+winogrande,9,piqa,0.6637903788526144,0.8714237340859005
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,mrpc,0.6301356543387685,0.8715270784284387
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,boolq,0.6478880842083267,0.8777262464697871
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,rte,0.6917464302054473,0.8972349294594356
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,cola,0.6093506012777132,0.8615148844463485
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,cb,0.6823498766337123,0.8994161747395992
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,scitail,0.7107835321554116,0.8936491534113884
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,stsb,0.5447860890999436,0.847417555217232
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,cr,0.7188495050317475,0.903642363846302
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,rotten_tomatoes,0.7373942437448672,0.9064067586192063
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,multirc,0.6442616853330817,0.8766191144074712
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,copa,0.5609834900658045,0.8514225320624453
base,mnli+qnli+qqp+sst2+anli_r1+paws+imdb+winogrande,8,piqa,0.6326222413751695,0.8722652830183506
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,mrpc,0.6512645288769688,0.8707007350666183
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,boolq,0.6745685448071786,0.8760681035263198
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,rte,0.710910079734666,0.8941529201609748
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,cola,0.6352310718170234,0.8638552562998874
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,cb,0.699413944834045,0.8951513091368335
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,scitail,0.7261804544499942,0.8920324774725097
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,stsb,0.5714121584647468,0.8483775513512748
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,cr,0.7138105681432145,0.8921826662761825
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,rotten_tomatoes,0.728308063798717,0.8952859719949109
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,multirc,0.677447371450918,0.8768474555441311
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,copa,0.5869625777538333,0.8495392402900117
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2,7,piqa,0.6110587622970343,0.8549850290375096
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,mrpc,0.6532464913491692,0.8708190359175205
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,boolq,0.676134159256305,0.8760752268135548
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,rte,0.7128896420555455,0.8942377700337342
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,cola,0.6376505400985479,0.864000857940742
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,cb,0.7024075197322028,0.8953540282590049
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,scitail,0.7268814577588013,0.891906911773341
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,stsb,0.5751662623536374,0.8486818540841341
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,cr,0.715020443711962,0.8920842797628471
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,rotten_tomatoes,0.7290401972298112,0.895151460809367
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,multirc,0.6790621309940305,0.8769314533897808
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,copa,0.5942126226478389,0.8516684044152498
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag,8,piqa,0.6511484114453197,0.8680586202868393
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,mrpc,0.6543505763901132,0.8708515124661582
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,boolq,0.6782529154526336,0.8761221622782094
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,rte,0.7130233379346984,0.8940603376499244
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,cola,0.6391693856567144,0.8641266024538449
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,cb,0.7026124040463141,0.8950611799955368
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,scitail,0.7269713365073714,0.8917104697653225
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,stsb,0.5766631791235081,0.8487062185470547
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,cr,0.7165901820574488,0.8921006151608059
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,rotten_tomatoes,0.7301751505583525,0.8951329407947404
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,multirc,0.6809383931436709,0.8769582475402525
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,copa,0.6017305308154651,0.8539296846304621
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+hellaswag+winogrande,9,piqa,0.6823250928095409,0.8770610349518912
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,8,mrpc,0.6528559337769236,0.8708197639456817
base,mnli+qnli+qqp+sst2+anli_r1+paws+squad_v2+winogrande,8,boolq,0.6761144503418889,0.8761630281805992
