method,combo,n_tasks,target,sar,sar_iso
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,mrpc,0.6372389545930284,0.8688491503042834
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,boolq,0.6630807727841395,0.8754082902201584
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,rte,0.6910436911774533,0.8908156843057701
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,cola,0.6214441679018948,0.8614337835460901
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,cb,0.6641211523009198,0.8847155107983521
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,scitail,0.7038028051278421,0.8869547607111079
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,stsb,0.5628841346395868,0.8478067078228507
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,cr,0.7267066434557948,0.8999766052833625
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,rotten_tomatoes,0.7452833889318364,0.9036385800157275
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,multirc,0.6594046867851701,0.87432981575174
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,copa,0.5861379506199488,0.8533370207462992
base,qnli+qqp+sst2+record+snli+paws+imdb+hellaswag+winogrande,9,piqa,0.6736028220371476,0.8775533043912479
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,mrpc,0.6508479983146701,0.8686305374971458
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,boolq,0.6788847784378699,0.8748755627976996
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,rte,0.7025857261781182,0.8890378464545522
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,cola,0.6412444311593261,0.8633469018552985
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,cb,0.6770243352012975,0.8825528877122062
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,scitail,0.7141871532159192,0.8861686307936907
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,stsb,0.5792928284167179,0.8482834752649069
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,cr,0.7333549599030188,0.8980231567152909
base,qnli+qqp+sst2+record+snli+paws+imdb+squad_v2,8,rotten_tomatoes,0.7505532340811831,0.9020225735647338
