method,combo,n_tasks,target,sar,sar_iso
base,mnli+qnli+qqp+snli+anli_r1,5,mrpc,0.5867811791332704,0.8679946283144611
base,mnli+qnli+qqp+snli+anli_r1,5,boolq,0.5617830203180867,0.8558564574590751
base,mnli+qnli+qqp+snli+anli_r1,5,rte,0.6503099338816745,0.8949751209999833
base,mnli+qnli+qqp+snli+anli_r1,5,cola,0.5712675500128951,0.8581704263176236
base,mnli+qnli+qqp+snli+anli_r1,5,cb,0.6409738593335662,0.8994397765823773
base,mnli+qnli+qqp+snli+anli_r1,5,scitail,0.6887533531657287,0.8940317894199065
base,mnli+qnli+qqp+snli+anli_r1,5,stsb,0.5137099256140313,0.8462969538356576
base,mnli+qnli+qqp+snli+anli_r1,5,cr,0.5664785086576428,0.858907054577555
base,mnli+qnli+qqp+snli+anli_r1,5,rotten_tomatoes,0.5678636007942259,0.8568840891655002
base,mnli+qnli+qqp+snli+anli_r1,5,multirc,0.5765511474705168,0.8587122407874891
base,mnli+qnli+qqp+snli+anli_r1,5,copa,0.5088564876267421,0.8440870373908963
base,mnli+qnli+qqp+snli+anli_r1,5,piqa,0.5536807892245373,0.852352775367243
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,mrpc,0.590700193574386,0.8681597390345165
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,boolq,0.5654771796627236,0.8561428048248801
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,rte,0.6544696143163102,0.8951567320951394
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,cola,0.5747668175026774,0.858405632099935
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,cb,0.6464899922055858,0.8997061891215188
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,scitail,0.6906922589987516,0.8938838650605508
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,stsb,0.5173738349694759,0.8468700495681593
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,cr,0.5706475127621421,0.8592808044382504
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,rotten_tomatoes,0.5712654115964791,0.8571954491947379
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,multirc,0.579925791560007,0.8590919417994363
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,copa,0.5171422791068575,0.8473793755152396
base,mnli+qnli+qqp+snli+anli_r1+hellaswag,6,piqa,0.585072158370167,0.8682236618229321
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,mrpc,0.5944264193198511,0.8681942639606339
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,boolq,0.5705816672250096,0.8564356033291135
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,rte,0.657262895522373,0.8949138383780207
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,cola,0.5784975090729338,0.8586983513087034
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,cb,0.6503998512136084,0.8994557484984398
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,scitail,0.6925050182534116,0.8936842097235578
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,stsb,0.521238574691649,0.8469650167971849
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,cr,0.5765778626581388,0.8599229465637889
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,rotten_tomatoes,0.5766370875228729,0.8576968764620168
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,multirc,0.58346904960594,0.8593137011464153
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,copa,0.5279150112265987,0.8506497940314668
base,mnli+qnli+qqp+snli+anli_r1+hellaswag+winogrande,7,piqa,0.6200519918264555,0.8777139415698392
base,mnli+qnli+qqp+snli+anli_r1+imdb,6,mrpc,0.5926799401640892,0.8690645721341882
base,mnli+qnli+qqp+snli+anli_r1+imdb,6,boolq,0.5658815651466804,0.8565788638911077
base,mnli+qnli+qqp+snli+anli_r1+imdb,6,rte,0.6565904968551227,0.8959207917962756
base,mnli+qnli+qqp+snli+anli_r1+imdb,6,cola,0.5776730439891773,0.8593366021024329
base,mnli+qnli+qqp+snli+anli_r1+imdb,6,cb,0.6517625868852649,0.9013972553823676
base,mnli+qnli+qqp+snli+anli_r1+imdb,6,scitail,0.6914290032748666,0.8942910909120526
base,mnli+qnli+qqp+snli+anli_r1+imdb,6,stsb,0.5159619316525225,0.8464505265333823
