method,combo,n_tasks,target,sar,sar_iso
base,qqp+record+snli+anli_r1+paws+winogrande,6,mrpc,0.6235826159162181,0.8651421916271959
base,qqp+record+snli+anli_r1+paws+winogrande,6,boolq,0.6565160268385496,0.8736233272190604
base,qqp+record+snli+anli_r1+paws+winogrande,6,rte,0.659235200711659,0.8770172191517693
base,qqp+record+snli+anli_r1+paws+winogrande,6,cola,0.6098180751848433,0.8582436354564769
base,qqp+record+snli+anli_r1+paws+winogrande,6,cb,0.6733860719416823,0.8927195199898311
base,qqp+record+snli+anli_r1+paws+winogrande,6,scitail,0.7059897072613239,0.8884049731173685
base,qqp+record+snli+anli_r1+paws+winogrande,6,stsb,0.5582128372708601,0.847220833546349
base,qqp+record+snli+anli_r1+paws+winogrande,6,cr,0.6080648410134017,0.8583435514675719
base,qqp+record+snli+anli_r1+paws+winogrande,6,rotten_tomatoes,0.6065684179775417,0.856431017230664
base,qqp+record+snli+anli_r1+paws+winogrande,6,multirc,0.6580881616100669,0.8738892607923064
base,qqp+record+snli+anli_r1+paws+winogrande,6,copa,0.5743931305727789,0.8501695681895528
base,qqp+record+snli+anli_r1+paws+winogrande,6,piqa,0.6547639280158494,0.8721048501985413
base,qqp+record+snli+anli_r1+squad_v2,5,mrpc,0.639559024146625,0.8647119905799627
base,qqp+record+snli+anli_r1+squad_v2,5,boolq,0.617857800796628,0.8559762252760785
base,qqp+record+snli+anli_r1+squad_v2,5,rte,0.6744911391288042,0.8758779487439564
base,qqp+record+snli+anli_r1+squad_v2,5,cola,0.6333507203630039,0.8601042976869004
base,qqp+record+snli+anli_r1+squad_v2,5,cb,0.6925913912377187,0.8906981998256275
base,qqp+record+snli+anli_r1+squad_v2,5,scitail,0.7166213361280305,0.8870451487600803
base,qqp+record+snli+anli_r1+squad_v2,5,stsb,0.5785764908151967,0.8475028960300344
base,qqp+record+snli+anli_r1+squad_v2,5,cr,0.62483361123928,0.858152386067169
base,qqp+record+snli+anli_r1+squad_v2,5,rotten_tomatoes,0.6208875779328602,0.8560296422136682
base,qqp+record+snli+anli_r1+squad_v2,5,multirc,0.6339597281600747,0.8599022879664387
base,qqp+record+snli+anli_r1+squad_v2,5,copa,0.5953371041853514,0.8485809953085014
base,qqp+record+snli+anli_r1+squad_v2,5,piqa,0.6214826966502837,0.8546974906431777
base,qqp+record+snli+anli_r1+squad_v2+hellaswag,6,mrpc,0.6417445955531937,0.86498633798744
base,qqp+record+snli+anli_r1+squad_v2+hellaswag,6,boolq,0.6198817482218146,0.8562156499496528
base,qqp+record+snli+anli_r1+squad_v2+hellaswag,6,rte,0.6769974540386882,0.8762594519981316
base,qqp+record+snli+anli_r1+squad_v2+hellaswag,6,cola,0.6355881520680019,0.8604706049497638
base,qqp+record+snli+anli_r1+squad_v2+hellaswag,6,cb,0.6962903557079179,0.8911864901227611
base,qqp+record+snli+anli_r1+squad_v2+hellaswag,6,scitail,0.7172062080353498,0.8869708089956215
base,qqp+record+snli+anli_r1+squad_v2+hellaswag,6,stsb,0.5821013994781035,0.8477910892771823
